POS,PLAYER,Mat,Inns,Runs,HS,Avg,BF,SR,100,50,4s,Ov,Wkts,BBI,Avg,Econ,SR,4w,5w
,Quinton de Kock,59,59,1778,108,31.75,"1,329",133.78,1,14,184,,,,,,,,
,manoj tiwary,98,85,1695,75*,28.72,"1,449",116.97,0,7,156,,,,,,,,
,kumar sangakkara,71,68,1687,94,25.95,"1,392",121.19,0,10,195,,,,,,,,
,mayank Agarwal,87,82,1664,106,21.06,"1,244",133.76,1,7,156,,,,,,,,
,Jos Buttler,54,54,1648,95*,35.06,"1,101",149.68,0,11,162,,,,,,,,
,mandeep Singh,100,87,1562,77*,21.69,"1,249",125.06,0,5,160,,,,,,,,
,naman ojha,113,94,1554,94*,20.72,"1,313",118.72,0,6,121,,,,,,,,
,Andre Russell,73,60,1492,88*,29.84,821,181.72,0,8,104,,,,,,,,
,Dwayne Bravo,140,104,1490,70*,22.57,"1,162",128.22,0,5,116,,,,,,,,
,glenn Maxwell,79,77,1487,95,22.19,954,155.87,0,6,117,,,,,,,,
,kane Williamson,48,48,1483,89,38.02,"1,088",136.30 ,0,13,129,,,,,,,,
,karun Nair,73,66,1480,83*,24.26,"1,153",128.36,0,10,160,,,,,,,,
,subramaniam badrinath,95,67,1441,718,30.65,"1,212",118.89,0,11,154,,,,,,,,
,brade hodge,66,63,1400,73,33.33,"1,118",125.22,0,6,122,,,,,,,,
,sourav ganguly,59,56,1349,91,25.45,"1,263",106.80 ,0,7,137,,,,,,,,
,saurabh Tiwary,83,66,1339,61,28.48,"1,111",120.52,0,7,97,,,,,,,,
,david hussey,64,61,1322,71,26.97,"1,075",122.97,0,5,90,,,,,,,,
,chris lynn,41,41,1280,93*,33.68,910,140.65,0,10,128,,,,,,,,
,nitish Rana,56,51,1269,85*,27.00 ,944,134.42,0,9,104,,,,,,,,
,Hardik Pandya,75,70,1232,91,28.65,792,155.55,0,3,84,,,,,,,,
,tillakaratne dilshan,52,50,1153,76*,26.81,"1,007",114.49,0,9,140,,,,,,,,
